dia_semana,hora,viajes
0,0,20366
0,1,11848
0,2,7017
0,3,4631
0,4,4800
0,5,12315
0,6,58194
0,7,179520
0,8,344936
0,9,183098
0,10,94586
0,11,96638
0,12,121728
0,13,126291
0,14,125746
0,15,136962
0,16,186277
0,17,346633
0,18,319265
0,19,180403
0,20,112456
0,21,73950
0,22,50141
0,23,29605
1,0,16186
1,1,9378
1,2,5310
1,3,3545
1,4,4126
1,5,13066
1,6,72228
1,7,222983
1,8,416454
1,9,208461
1,10,100624
1,11,95974
1,12,120771
1,13,123702
1,14,117696
1,15,128248
1,16,186484
1,17,361637
1,18,337703
1,19,189406
1,20,115236
1,21,77588
1,22,55796
1,23,28817
2,0,16925
2,1,9302
2,2,5711
2,3,3884
2,4,4206
2,5,12545
2,6,69867
2,7,215954
2,8,401866
2,9,205172
2,10,97408
2,11,91006
2,12,114958
2,13,118138
2,14,112809
2,15,124522
2,16,179478
2,17,348155
2,18,327004
2,19,188783
2,20,115970
2,21,82963
2,22,63023
2,23,38941
3,0,19919
3,1,10801
3,2,6808
3,3,4475
3,4,4472
3,5,12325
3,6,67173
3,7,212407
3,8,403418
3,9,210768
3,10,102112
3,11,97291
3,12,122379
3,13,125337
3,14,119570
3,15,132390
3,16,182910
3,17,332108
3,18,308769
3,19,180852
3,20,115205
3,21,82758
3,22,64305
3,23,44017
4,0,24665
4,1,14357
4,2,9034
4,3,5782
4,4,5335
4,5,11684
4,6,57309
4,7,176365
4,8,352755
4,9,201002
4,10,106077
4,11,106399
4,12,136731
4,13,141145
4,14,135390
4,15,147728
4,16,199429
4,17,312627
4,18,254778
4,19,154962
4,20,99454
4,21,73080
4,22,63654
4,23,53497
5,0,39741
5,1,29054
5,2,20268
5,3,13840
5,4,9268
5,5,7678
5,6,12438
5,7,26108
5,8,54298
5,9,92938
5,10,132351
5,11,168506
5,12,191511
5,13,200225
5,14,202696
5,15,203195
5,16,198693
5,17,187351
5,18,162462
5,19,126241
5,20,91243
5,21,66414
5,22,60487
5,23,54788
6,0,44750
6,1,33737
6,2,23843
6,3,16663
6,4,10476
6,5,7902
6,6,10340
6,7,17946
6,8,36692
6,9,73117
6,10,119843
6,11,158793
6,12,190129
6,13,200502
6,14,202365
6,15,201228
6,16,190018
6,17,171758
6,18,152491
6,19,116907
6,20,85941
6,21,60281
6,22,46274
6,23,31868
