dia_semana,hora,viajes
0,0,9845
0,1,5186
0,2,3093
0,3,2070
0,4,2286
0,5,6076
0,6,29112
0,7,92062
0,8,173181
0,9,91991
0,10,47749
0,11,47847
0,12,60176
0,13,62221
0,14,61743
0,15,67475
0,16,90975
0,17,169321
0,18,155910
0,19,87712
0,20,53692
0,21,35080
0,22,24365
0,23,14362
1,0,7966
1,1,4767
1,2,2749
1,3,1751
1,4,2060
1,5,6569
1,6,35476
1,7,111871
1,8,206398
1,9,102290
1,10,49985
1,11,47908
1,12,60535
1,13,61512
1,14,59030
1,15,64311
1,16,91843
1,17,174669
1,18,163498
1,19,91334
1,20,55150
1,21,36602
1,22,25911
1,23,14777
2,0,8288
2,1,4682
2,2,2828
2,3,1963
2,4,2164
2,5,6267
2,6,34686
2,7,110479
2,8,202546
2,9,101374
2,10,48526
2,11,44660
2,12,56659
2,13,58204
2,14,54882
2,15,61190
2,16,87121
2,17,167325
2,18,158818
2,19,92358
2,20,56506
2,21,39573
2,22,30459
2,23,18933
3,0,9876
3,1,5564
3,2,3615
3,3,2286
3,4,2293
3,5,6196
3,6,34071
3,7,108797
3,8,205008
3,9,106367
3,10,52739
3,11,49962
3,12,62794
3,13,64040
3,14,61263
3,15,67755
3,16,90817
3,17,164213
3,18,152314
3,19,90788
3,20,58130
3,21,40748
3,22,31566
3,23,21869
4,0,12526
4,1,7222
4,2,4620
4,3,2941
4,4,2650
4,5,5892
4,6,28585
4,7,90290
4,8,176719
4,9,99020
4,10,52453
4,11,53552
4,12,68850
4,13,72142
4,14,70064
4,15,75667
4,16,101475
4,17,158759
4,18,129375
4,19,78733
4,20,51078
4,21,36716
4,22,31606
4,23,26449
5,0,20058
5,1,14715
5,2,10232
5,3,7111
5,4,4812
5,5,4015
5,6,6109
5,7,12840
5,8,26117
5,9,45007
5,10,65248
5,11,84274
5,12,97016
5,13,101531
5,14,104582
5,15,106162
5,16,103861
5,17,96044
5,18,82330
5,19,63473
5,20,46004
5,21,32962
5,22,29656
5,23,27946
6,0,23579
6,1,17926
6,2,12157
6,3,8544
6,4,5325
6,5,4206
6,6,5541
6,7,9121
6,8,18767
6,9,38006
6,10,62169
6,11,83360
6,12,100901
6,13,106865
6,14,107433
6,15,106119
6,16,100288
6,17,89310
6,18,76436
6,19,58286
6,20,42343
6,21,29388
6,22,23126
6,23,15959
