station_id,salidas,llegadas,neto,total,desequilibrio_pct,station_name,longitude,latitude
361,34319,23822,-10497,58141,-18.05,"Waterloo Station 2, Waterloo",-0.113864,51.504
574,29050,21449,-7601,50499,-15.05,"Eagle Wharf Road, Hoxton",-0.09315,51.5336
93,12346,6958,-5388,19304,-27.91,"Cloudesley Road, Angel",-0.109025,51.5344
374,53674,48647,-5027,102321,-4.91,"Waterloo Station 1, Waterloo",-0.113864,51.504
326,20916,16462,-4454,37378,-11.92,"Graham Street, Angel",-0.0999811,51.5327
524,15831,11708,-4123,27539,-14.97,"Lancaster Gate, Bayswater",-0.179668,51.5117
98,18658,14717,-3941,33375,-11.81,"Hampstead Road, Euston",-0.138231,51.5255
170,10110,6181,-3929,16291,-24.12,"Hardwick Street, Clerkenwell",-0.108068,51.5278
351,13851,9945,-3906,23796,-16.41,"Macclesfield Rd, St Lukes",-0.097122,51.5294
222,11577,7681,-3896,19258,-20.23,"Knightsbridge, Hyde Park",-0.15535,51.5028
189,9221,5441,-3780,14662,-25.78,"Claremont Square, Angel",-0.109915,51.5317
253,16473,12750,-3723,29223,-12.74,"Shoreditch Park, Hoxton",-0.0863797,51.534
339,8539,5052,-3487,13591,-25.66,"Risinghill Street, Angel",-0.1117809999999999,51.5333
45,19420,16001,-3419,35421,-9.65,"Boston Place, Marylebone",-0.162298,51.5225
42,15987,12646,-3341,28633,-11.67,"Wenlock Road, Hoxton",-0.0939038,51.531000000000006
20,14444,11112,-3332,25556,-13.04,"Drummond Street, Euston",-0.135273,51.5277
154,77085,73813,-3272,150898,-2.17,"Waterloo Station 3, Waterloo",-0.113864,51.504
489,15282,12148,-3134,27430,-11.43,"Christian Street, Whitechapel",-0.064094,51.5131
387,16751,13712,-3039,30463,-9.98,"Fire Brigade Pier, Vauxhall",-0.121394,51.4937
36,12626,9665,-2961,22291,-13.28,"De Vere Gardens, Kensington",-0.184981,51.5017
225,23929,20969,-2960,44898,-6.59,"Notting Hill Gate Station, Notting Hill",-0.196422,51.5094
