station_id,salidas,llegadas,neto,total,desequilibrio_pct,station_name,longitude,latitude
361,69017,48701,-20316,117718,-17.26,"Waterloo Station 2, Waterloo",-0.113864,51.504
574,56087,42971,-13116,99058,-13.24,"Eagle Wharf Road, Hoxton",-0.09315,51.5336
93,23178,13309,-9869,36487,-27.05,"Cloudesley Road, Angel",-0.109025,51.5344
222,24662,15661,-9001,40323,-22.32,"Knightsbridge, Hyde Park",-0.15535,51.5028
98,36035,27984,-8051,64019,-12.58,"Hampstead Road, Euston",-0.138231,51.5255
326,40819,33037,-7782,73856,-10.54,"Graham Street, Angel",-0.0999811,51.5327
170,19590,11926,-7664,31516,-24.32,"Hardwick Street, Clerkenwell",-0.108068,51.5278
524,29973,22433,-7540,52406,-14.39,"Lancaster Gate, Bayswater",-0.179668,51.5117
154,151253,143734,-7519,294987,-2.55,"Waterloo Station 3, Waterloo",-0.113864,51.504
351,26657,19430,-7227,46087,-15.68,"Macclesfield Rd, St Lukes",-0.097122,51.5294
339,16632,9679,-6953,26311,-26.43,"Risinghill Street, Angel",-0.1117809999999999,51.5333
189,17505,10577,-6928,28082,-24.67,"Claremont Square, Angel",-0.109915,51.5317
253,31415,24958,-6457,56373,-11.45,"Shoreditch Park, Hoxton",-0.0863797,51.534
45,41839,35715,-6124,77554,-7.9,"Boston Place, Marylebone",-0.162298,51.5225
374,107001,101014,-5987,208015,-2.88,"Waterloo Station 1, Waterloo",-0.113864,51.504
225,47146,41243,-5903,88389,-6.68,"Notting Hill Gate Station, Notting Hill",-0.196422,51.5094
365,24776,18893,-5883,43669,-13.47,"City Road, Angel",-0.100168,51.5303
42,32059,26357,-5702,58416,-9.76,"Wenlock Road, Hoxton",-0.0939038,51.531000000000006
489,29236,23577,-5659,52813,-10.72,"Christian Street, Whitechapel",-0.064094,51.5131
36,26921,21349,-5572,48270,-11.54,"De Vere Gardens, Kensington",-0.184981,51.5017
465,34234,29007,-5227,63241,-8.27,"Pitfield Street North,Hoxton",-0.08249,51.5356
1,15860,10675,-5185,26535,-19.54,"River Street, Clerkenwell",-0.109971,51.5292
410,24897,19727,-5170,44624,-11.59,"Edgware Road Station, Marylebone",-0.169774,51.52
30,28052,22963,-5089,51015,-9.98,"Windsor Terrace, Hoxton",-0.0934216,51.5292
286,15900,10872,-5028,26772,-18.78,"St. John's Wood Road, St. John's Wood",-0.174654,51.5273
20,22102,17123,-4979,39225,-12.69,"Drummond Street, Euston",-0.135273,51.5277
25,36641,31756,-4885,68397,-7.14,"Doric Way, Somers Town",-0.13225,51.5288
697,17029,12168,-4861,29197,-16.65,"Charlotte Terrace, Angel",-0.112721,51.5364
330,29083,24238,-4845,53321,-9.09,"Eastbourne Mews, Paddington",-0.179135,51.5164
387,30764,26034,-4730,56798,-8.33,"Fire Brigade Pier, Vauxhall",-0.121394,51.4937
333,30279,25654,-4625,55933,-8.27,"Palace Gardens Terrace, Notting Hill",-0.193764,51.5086
674,16515,11935,-4580,28450,-16.1,"Carnegie Street, King's Cross",-0.116191,51.5355
569,17978,13506,-4472,31484,-14.2,"Pitfield Street Central, Hoxton",-0.08299,51.5321
540,21562,17098,-4464,38660,-11.55,"Albany Street, The Regent's Park",-0.144466,51.5283
534,30574,26258,-4316,56832,-7.59,"Goldsmith's Row, Haggerston",-0.066035,51.5319
254,31269,26968,-4301,58237,-7.39,"Chadwell Street, Angel",-0.1064079999999999,51.5305
327,9463,5350,-4113,14813,-27.77,"New North Road 1, Hoxton",-0.086016,51.5311
63,16420,12327,-4093,28747,-14.24,"Murray Grove, Hoxton",-0.0897826,51.5309
401,30013,25984,-4029,55997,-7.2,"Columbia Road, Shoreditch",-0.075375,51.5282
14,173276,169271,-4005,342547,-1.17,"Belgrove Street, King's Cross",-0.123617,51.5299
433,35223,31230,-3993,66453,-6.01,"Wren Street, Holborn",-0.116279,51.5246
117,22401,18460,-3941,40861,-9.64,"Lollard Street, Vauxhall",-0.114934,51.4929
748,25407,21496,-3911,46903,-8.34,"Hertford Road, De Beauvoir Town",-0.0792018,51.5373
445,17158,13277,-3881,30435,-12.75,"Cheshire Street, Bethnal Green",-0.065076,51.5239
717,47817,43963,-3854,91780,-4.2,"Dunston Road, Haggerston",-0.0758857,51.5366
398,17377,13533,-3844,30910,-12.44,"Holland Park, Kensington",-0.200742,51.5023
178,21825,18103,-3722,39928,-9.32,"Warwick Square, Pimlico",-0.141924,51.4899
31,29259,25607,-3652,54866,-6.66,"Fanshaw Street, Hoxton",-0.0833533,51.5295
247,15616,12008,-3608,27624,-13.06,"St. John's Wood Church, The Regent's Park",-0.168314,51.5301
466,16940,13391,-3549,30331,-11.7,"Whiston Road, Haggerston",-0.0763409999999999,51.5345
291,20059,16565,-3494,36624,-9.54,"Claverton Street, Pimlico",-0.138089,51.4848
796,18230,14746,-3484,32976,-10.57,"Coram Street, Bloomsbury",-0.12641,51.524
362,19603,16176,-3427,35779,-9.58,"Royal College Street, Camden Town",-0.133952,51.5363
243,26609,23234,-3375,49843,-6.77,"Gloucester Street, Pimlico",-0.139625,51.49100000000001
16,29995,26651,-3344,56646,-5.9,"Cartwright Gardens, Bloomsbury",-0.125979,51.5264
486,33740,30414,-3326,64154,-5.18,"Granby Street, Shoreditch",-0.069543,51.5256
151,19659,16349,-3310,36008,-9.19,"Chepstow Villas, Notting Hill",-0.2015549999999999,51.5121
695,50706,47455,-3251,98161,-3.31,"Islington Green, Angel",-0.1027579999999999,51.5364
511,27317,24081,-3236,51398,-6.3,"Sutton Street, Shadwell",-0.053558,51.5111
539,21901,18696,-3205,40597,-7.89,"Hoxton Station, Hoxton",-0.075901,51.5311
89,25032,21849,-3183,46881,-6.79,"Tavistock Place, Bloomsbury",-0.12351,51.5263
450,17317,14153,-3164,31470,-10.05,"Jubilee Street, Stepney",-0.0531769999999999,51.516000000000005
91,17459,14305,-3154,31764,-9.93,"Walnut Tree Walk, Vauxhall",-0.111015,51.4937
702,21746,18612,-3134,40358,-7.77,"Durant Street, Bethnal Green",-0.0655503,51.5287
