dia_semana,hora,viajes
0,0,38365
0,1,21822
0,2,12715
0,3,8754
0,4,9522
0,5,23701
0,6,113684
0,7,343724
0,8,654968
0,9,351810
0,10,189388
0,11,197650
0,12,248486
0,13,259967
0,14,258862
0,15,285226
0,16,379869
0,17,672240
0,18,617915
0,19,362146
0,20,229152
0,21,149702
0,22,101384
0,23,59098
1,0,32542
1,1,19193
1,2,10737
1,3,7327
1,4,8932
1,5,25376
1,6,138892
1,7,415748
1,8,768730
1,9,392271
1,10,198800
1,11,193621
1,12,243435
1,13,252638
1,14,246056
1,15,270837
1,16,379712
1,17,694899
1,18,655003
1,19,381590
1,20,237398
1,21,160360
1,22,113155
1,23,55115
2,0,34576
2,1,19122
2,2,11265
2,3,7769
2,4,8981
2,5,24624
2,6,133423
2,7,400558
2,8,741295
2,9,389782
2,10,196249
2,11,190803
2,12,241909
2,13,247457
2,14,239150
2,15,261359
2,16,365129
2,17,668606
2,18,636861
2,19,376180
2,20,232583
2,21,165926
2,22,125696
2,23,75954
3,0,38259
3,1,21022
3,2,13002
3,3,8611
3,4,9285
3,5,23871
3,6,128374
3,7,391234
3,8,742080
3,9,399033
3,10,199879
3,11,194174
3,12,243994
3,13,252502
3,14,243984
3,15,273072
3,16,374117
3,17,650125
3,18,608368
3,19,363979
3,20,233791
3,21,167393
3,22,128975
3,23,86532
4,0,47632
4,1,26652
4,2,16062
4,3,10731
4,4,10794
4,5,23037
4,6,110631
4,7,327561
4,8,645178
4,9,374887
4,10,210871
4,11,216318
4,12,277848
4,13,291122
4,14,285594
4,15,312753
4,16,411723
4,17,614591
4,18,513400
4,19,319422
4,20,206498
4,21,148658
4,22,126196
4,23,104987
5,0,75855
5,1,54590
5,2,36933
5,3,25365
5,4,17310
5,5,14731
5,6,26009
5,7,55035
5,8,112120
5,9,189836
5,10,271228
5,11,349142
5,12,406833
5,13,434122
5,14,442283
5,15,438464
5,16,419890
5,17,389819
5,18,336631
5,19,263743
5,20,191405
5,21,137777
5,22,120474
5,23,104997
6,0,81971
6,1,61706
6,2,42081
6,3,28756
6,4,18423
6,5,14250
6,6,20442
6,7,37356
6,8,74932
6,9,149407
6,10,244904
6,11,332017
6,12,405590
6,13,434348
6,14,436579
6,15,428485
6,16,404912
6,17,363892
6,18,317706
6,19,240758
6,20,173637
6,21,120308
6,22,90623
6,23,61309
