dia_semana,hora,viajes
0,0,282
0,1,190
0,2,98
0,3,57
0,4,94
0,5,305
0,6,1762
0,7,5507
0,8,8873
0,9,5895
0,10,2949
0,11,2688
0,12,2769
0,13,2837
0,14,3131
0,15,3529
0,16,4844
0,17,7321
0,18,6643
0,19,4142
0,20,2360
0,21,1463
0,22,1001
0,23,582
1,0,273
1,1,171
1,2,117
1,3,62
1,4,84
1,5,309
1,6,1877
1,7,5857
1,8,11674
1,9,5817
1,10,2577
1,11,2221
1,12,2960
1,13,3074
1,14,2785
1,15,3095
1,16,4339
1,17,9111
1,18,8408
1,19,4419
1,20,2413
1,21,1605
1,22,1079
1,23,684
2,0,372
2,1,224
2,2,144
2,3,111
2,4,145
2,5,381
2,6,1985
2,7,6472
2,8,13020
2,9,6884
2,10,3394
2,11,3065
2,12,3848
2,13,4038
2,14,3868
2,15,4058
2,16,5607
2,17,8073
2,18,6648
2,19,3515
2,20,2049
2,21,1392
2,22,1089
2,23,662
3,0,359
3,1,257
3,2,149
3,3,112
3,4,90
3,5,242
3,6,1392
3,7,4301
3,8,8765
3,9,4823
3,10,2410
3,11,2180
3,12,2636
3,13,2505
3,14,2482
3,15,2708
3,16,3064
3,17,4953
3,18,4316
3,19,2662
3,20,1712
3,21,1200
3,22,958
3,23,698
4,0,350
4,1,229
4,2,172
4,3,130
4,4,92
4,5,262
4,6,1132
4,7,3517
4,8,7627
4,9,4377
4,10,1983
4,11,2102
4,12,2790
4,13,3004
4,14,2812
4,15,2687
4,16,3104
4,17,4944
4,18,3970
4,19,2286
4,20,1380
4,21,956
4,22,938
4,23,787
5,0,630
5,1,432
5,2,335
5,3,198
5,4,149
5,5,141
5,6,182
5,7,448
5,8,972
5,9,1793
5,10,2542
5,11,3109
5,12,2897
5,13,3342
5,14,3390
5,15,3628
5,16,3026
5,17,2648
5,18,2189
5,19,1815
5,20,1465
5,21,1230
5,22,1328
5,23,1358
6,0,1548
6,1,1368
6,2,661
6,3,480
6,4,301
6,5,248
6,6,219
6,7,288
6,8,477
6,9,952
6,10,1281
6,11,1871
6,12,2530
6,13,2475
6,14,1999
6,15,2180
6,16,1775
6,17,1332
6,18,1130
6,19,1092
6,20,830
6,21,691
6,22,621
6,23,497
