station_id,salidas,llegadas,neto,total,desequilibrio_pct,station_name,longitude,latitude
361,125584,87133,-38451,212717,-18.08,"Waterloo Station 2, Waterloo",-0.113864,51.504
574,107628,86866,-20762,194494,-10.67,"Eagle Wharf Road, Hoxton",-0.09315,51.5336
93,43919,26874,-17045,70793,-24.08,"Cloudesley Road, Angel",-0.109025,51.5344
222,51202,37693,-13509,88895,-15.2,"Knightsbridge, Hyde Park",-0.15535,51.5028
225,89800,77283,-12517,167083,-7.49,"Notting Hill Gate Station, Notting Hill",-0.196422,51.5094
98,64964,52515,-12449,117479,-10.6,"Hampstead Road, Euston",-0.138231,51.5255
524,56453,44085,-12368,100538,-12.3,"Lancaster Gate, Bayswater",-0.179668,51.5117
45,77852,65618,-12234,143470,-8.53,"Boston Place, Marylebone",-0.162298,51.5225
189,32866,20737,-12129,53603,-22.63,"Claremont Square, Angel",-0.109915,51.5317
154,265974,253848,-12126,519822,-2.33,"Waterloo Station 3, Waterloo",-0.113864,51.504
339,29638,17706,-11932,47344,-25.2,"Risinghill Street, Angel",-0.1117809999999999,51.5333
351,50744,38853,-11891,89597,-13.27,"Macclesfield Rd, St Lukes",-0.097122,51.5294
326,77115,65317,-11798,142432,-8.28,"Graham Street, Angel",-0.0999811,51.5327
170,31889,20686,-11203,52575,-21.31,"Hardwick Street, Clerkenwell",-0.108068,51.5278
365,46658,35588,-11070,82246,-13.46,"City Road, Angel",-0.100168,51.5303
374,206698,196093,-10605,402791,-2.63,"Waterloo Station 1, Waterloo",-0.113864,51.504
253,64581,54253,-10328,118834,-8.69,"Shoreditch Park, Hoxton",-0.0863797,51.534
42,59028,48715,-10313,107743,-9.57,"Wenlock Road, Hoxton",-0.0939038,51.531000000000006
25,70278,60705,-9573,130983,-7.31,"Doric Way, Somers Town",-0.13225,51.5288
1,30013,20806,-9207,50819,-18.12,"River Street, Clerkenwell",-0.109971,51.5292
30,52519,43354,-9165,95873,-9.56,"Windsor Terrace, Hoxton",-0.0934216,51.5292
674,33316,24420,-8896,57736,-15.41,"Carnegie Street, King's Cross",-0.116191,51.5355
465,63326,54572,-8754,117898,-7.43,"Pitfield Street North,Hoxton",-0.08249,51.5356
333,57843,49092,-8751,106935,-8.18,"Palace Gardens Terrace, Notting Hill",-0.193764,51.5086
330,55509,46895,-8614,102404,-8.41,"Eastbourne Mews, Paddington",-0.179135,51.5164
410,49942,41348,-8594,91290,-9.41,"Edgware Road Station, Marylebone",-0.169774,51.52
489,53634,45103,-8531,98737,-8.64,"Christian Street, Whitechapel",-0.064094,51.5131
697,33884,25368,-8516,59252,-14.37,"Charlotte Terrace, Angel",-0.112721,51.5364
286,29411,20953,-8458,50364,-16.79,"St. John's Wood Road, St. John's Wood",-0.174654,51.5273
569,37040,28662,-8378,65702,-12.75,"Pitfield Street Central, Hoxton",-0.08299,51.5321
20,34325,26161,-8164,60486,-13.5,"Drummond Street, Euston",-0.135273,51.5277
540,45959,38137,-7822,84096,-9.3,"Albany Street, The Regent's Park",-0.144466,51.5283
254,58521,50769,-7752,109290,-7.09,"Chadwell Street, Angel",-0.1064079999999999,51.5305
327,17807,10264,-7543,28071,-26.87,"New North Road 1, Hoxton",-0.086016,51.5311
717,96385,89295,-7090,185680,-3.82,"Dunston Road, Haggerston",-0.0758857,51.5366
387,58964,51880,-7084,110844,-6.39,"Fire Brigade Pier, Vauxhall",-0.121394,51.4937
36,56763,49701,-7062,106464,-6.63,"De Vere Gardens, Kensington",-0.184981,51.5017
534,59703,52692,-7011,112395,-6.24,"Goldsmith's Row, Haggerston",-0.066035,51.5319
748,53231,46351,-6880,99582,-6.91,"Hertford Road, De Beauvoir Town",-0.0792018,51.5373
398,33825,27056,-6769,60881,-11.12,"Holland Park, Kensington",-0.200742,51.5023
151,38335,31579,-6756,69914,-9.66,"Chepstow Villas, Notting Hill",-0.2015549999999999,51.5121
247,33925,27307,-6618,61232,-10.81,"St. John's Wood Church, The Regent's Park",-0.168314,51.5301
178,46057,39507,-6550,85564,-7.66,"Warwick Square, Pimlico",-0.141924,51.4899
401,57039,50608,-6431,107647,-5.97,"Columbia Road, Shoreditch",-0.075375,51.5282
450,35104,28836,-6268,63940,-9.8,"Jubilee Street, Stepney",-0.0531769999999999,51.516000000000005
466,33640,27383,-6257,61023,-10.25,"Whiston Road, Haggerston",-0.0763409999999999,51.5345
63,30428,24296,-6132,54724,-11.21,"Murray Grove, Hoxton",-0.0897826,51.5309
702,43447,37442,-6005,80889,-7.42,"Durant Street, Bethnal Green",-0.0655503,51.5287
433,63924,58031,-5893,121955,-4.83,"Wren Street, Holborn",-0.116279,51.5246
