station_id,salidas,llegadas,neto,total,desequilibrio_pct,station_name,longitude,latitude
374,3264,2353,-911,5617,-16.22,"Waterloo Station 1, Waterloo",-0.113864,51.504
574,1343,889,-454,2232,-20.34,"Eagle Wharf Road, Hoxton",-0.09315,51.5336
361,1559,1278,-281,2837,-9.9,"Waterloo Station 2, Waterloo",-0.113864,51.504
20,784,512,-272,1296,-20.99,"Drummond Street, Euston",-0.135273,51.5277
14,4674,4422,-252,9096,-2.77,"Belgrove Street, King's Cross",-0.123617,51.5299
326,789,548,-241,1337,-18.03,"Graham Street, Angel",-0.0999811,51.5327
189,480,241,-239,721,-33.15,"Claremont Square, Angel",-0.109915,51.5317
253,714,475,-239,1189,-20.1,"Shoreditch Park, Hoxton",-0.0863797,51.534
93,464,229,-235,693,-33.91,"Cloudesley Road, Angel",-0.109025,51.5344
339,430,224,-206,654,-31.5,"Risinghill Street, Angel",-0.1117809999999999,51.5333
45,873,683,-190,1556,-12.21,"Boston Place, Marylebone",-0.162298,51.5225
307,1602,1424,-178,3026,-5.88,"Black Lion Gate, Kensington Gardens",-0.187843,51.5099
462,703,525,-178,1228,-14.5,"Bonny Street, Camden Town",-0.138853,51.5416
387,748,573,-175,1321,-13.25,"Fire Brigade Pier, Vauxhall",-0.121394,51.4937
1,331,164,-167,495,-33.74,"River Street, Clerkenwell",-0.109971,51.5292
98,902,738,-164,1640,-10.0,"Hampstead Road, Euston",-0.138231,51.5255
117,552,395,-157,947,-16.58,"Lollard Street, Vauxhall",-0.114934,51.4929
42,808,652,-156,1460,-10.68,"Wenlock Road, Hoxton",-0.0939038,51.531000000000006
748,608,453,-155,1061,-14.61,"Hertford Road, De Beauvoir Town",-0.0792018,51.5373
489,614,464,-150,1078,-13.91,"Christian Street, Whitechapel",-0.064094,51.5131
30,621,477,-144,1098,-13.11,"Windsor Terrace, Hoxton",-0.0934216,51.5292
410,557,414,-143,971,-14.73,"Edgware Road Station, Marylebone",-0.169774,51.52
154,3918,3777,-141,7695,-1.83,"Waterloo Station 3, Waterloo",-0.113864,51.504
796,455,314,-141,769,-18.34,"Coram Street, Bloomsbury",-0.12641,51.524
524,746,606,-140,1352,-10.36,"Lancaster Gate, Bayswater",-0.179668,51.5117
695,1116,976,-140,2092,-6.69,"Islington Green, Angel",-0.1027579999999999,51.5364
330,786,649,-137,1435,-9.55,"Eastbourne Mews, Paddington",-0.179135,51.5164
170,391,255,-136,646,-21.05,"Hardwick Street, Clerkenwell",-0.108068,51.5278
